2017-06-21 04:40:42.406826: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-06-21 04:40:42.406882: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-06-21 04:40:42.406891: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-06-21 04:40:42.406897: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-06-21 04:40:42.406903: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-06-21 04:40:42.876163: I tensorflow/core/common_runtime/gpu/gpu_device.cc:887] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
2017-06-21 04:40:42.876238: I tensorflow/core/common_runtime/gpu/gpu_device.cc:908] DMA: 0 
Global Iter: 2700 training loss: 1.99923
Global Iter: 2700 training acc: 0.125
Global Iter: 2800 training loss: 1.91836
Global Iter: 2800 training acc: 0.21875
Global Iter: 2900 training loss: 2.03307
Global Iter: 2900 training acc: 0.125
Global Iter: 3000 training loss: 1.94284
Global Iter: 3000 training acc: 0.28125
Global Iter: 3100 training loss: 2.14829
Global Iter: 3100 training acc: 0.15625
Global Iter: 3200 training loss: 2.0034
Global Iter: 3200 training acc: 0.3125
Global Iter: 3300 training loss: 2.05927
Global Iter: 3300 training acc: 0.0625
Global Iter: 3400 training loss: 1.97064
Global Iter: 3400 training acc: 0.21875
Global Iter: 3500 training loss: 2.07188
Global Iter: 3500 training acc: 0.25
Global Iter: 3600 training loss: 2.00979
Global Iter: 3600 training acc: 0.1875
Global Iter: 3700 training loss: 1.9871
Global Iter: 3700 training acc: 0.1875
Global Iter: 3800 training loss: 1.88835
Global Iter: 3800 training acc: 0.21875
Global Iter: 3900 training loss: 1.94812
Global Iter: 3900 training acc: 0.28125
Global Iter: 4000 training loss: 2.03571
Global Iter: 4000 training acc: 0.25
Global Iter: 4100 training loss: 1.98848
Global Iter: 4100 training acc: 0.125
Global Iter: 4200 training loss: 1.95342
Global Iter: 4200 training acc: 0.1875
Global Iter: 4300 training loss: 1.97484
Global Iter: 4300 training acc: 0.28125
Global Iter: 4400 training loss: 2.03052
Global Iter: 4400 training acc: 0.15625
Global Iter: 4500 training loss: 1.94308
Global Iter: 4500 training acc: 0.1875
Global Iter: 4600 training loss: 1.99527
Global Iter: 4600 training acc: 0.1875
Global Iter: 4700 training loss: 1.97906
Global Iter: 4700 training acc: 0.125
Global Iter: 4800 training loss: 2.02414
Global Iter: 4800 training acc: 0.15625
Global Iter: 4900 training loss: 2.04271
Global Iter: 4900 training acc: 0.1875
Global Iter: 5000 training loss: 1.91215
Global Iter: 5000 training acc: 0.21875
Global Iter: 5100 training loss: 2.00871
Global Iter: 5100 training acc: 0.125
Global Iter: 5200 training loss: 1.98407
Global Iter: 5200 training acc: 0.09375
Global Iter: 5300 training loss: 2.00492
Global Iter: 5300 training acc: 0.125
Global Iter: 5400 training loss: 2.00278
Global Iter: 5400 training acc: 0.1875
Global Iter: 5500 training loss: 1.9922
Global Iter: 5500 training acc: 0.125
Global Iter: 5600 training loss: 2.01375
Global Iter: 5600 training acc: 0.09375
Global Iter: 5700 training loss: 2.06593
Global Iter: 5700 training acc: 0.21875
Global Iter: 5800 training loss: 2.04258
Global Iter: 5800 training acc: 0.25
Global Iter: 5900 training loss: 2.02321
Global Iter: 5900 training acc: 0.15625
Global Iter: 6000 training loss: 1.99445
Global Iter: 6000 training acc: 0.0625
Global Iter: 6100 training loss: 2.00035
Global Iter: 6100 training acc: 0.25
Global Iter: 6200 training loss: 1.9993
Global Iter: 6200 training acc: 0.15625
Global Iter: 6300 training loss: 2.1238
Global Iter: 6300 training acc: 0.21875
Global Iter: 6400 training loss: 1.98542
Global Iter: 6400 training acc: 0.15625
Global Iter: 6500 training loss: 1.93715
Global Iter: 6500 training acc: 0.28125
Global Iter: 6600 training loss: 2.08861
Global Iter: 6600 training acc: 0.15625
Global Iter: 6700 training loss: 1.95658
Global Iter: 6700 training acc: 0.21875
Global Iter: 6800 training loss: 2.06223
Global Iter: 6800 training acc: 0.1875
Global Iter: 6900 training loss: 1.97453
Global Iter: 6900 training acc: 0.15625
Global Iter: 7000 training loss: 2.02219
Global Iter: 7000 training acc: 0.09375
Global Iter: 7100 training loss: 1.98684
Global Iter: 7100 training acc: 0.15625
Global Iter: 7200 training loss: 1.98557
Global Iter: 7200 training acc: 0.21875
Global Iter: 7300 training loss: 2.03633
Global Iter: 7300 training acc: 0.21875
Global Iter: 7400 training loss: 2.11858
Global Iter: 7400 training acc: 0.09375
Global Iter: 7500 training loss: 1.96572
Global Iter: 7500 training acc: 0.15625
Global Iter: 7600 training loss: 1.92563
Global Iter: 7600 training acc: 0.15625
Global Iter: 7700 training loss: 1.909
Global Iter: 7700 training acc: 0.25
Global Iter: 7800 training loss: 2.02026
Global Iter: 7800 training acc: 0.125
Global Iter: 7900 training loss: 2.04403
Global Iter: 7900 training acc: 0.15625
Global Iter: 8000 training loss: 1.97864
Global Iter: 8000 training acc: 0.1875
Global Iter: 8100 training loss: 1.94065
Global Iter: 8100 training acc: 0.34375
Global Iter: 8200 training loss: 1.97109
Global Iter: 8200 training acc: 0.25
Global Iter: 8300 training loss: 1.9181
Global Iter: 8300 training acc: 0.34375
Global Iter: 8400 training loss: 2.10571
Global Iter: 8400 training acc: 0.15625
Global Iter: 8500 training loss: 1.94595
Global Iter: 8500 training acc: 0.1875
Global Iter: 8600 training loss: 1.9675
Global Iter: 8600 training acc: 0.09375
Global Iter: 8700 training loss: 1.98942
Global Iter: 8700 training acc: 0.1875
Global Iter: 8800 training loss: 2.10133
Global Iter: 8800 training acc: 0.21875
Global Iter: 8900 training loss: 1.97445
Global Iter: 8900 training acc: 0.15625
Global Iter: 9000 training loss: 1.94583
Global Iter: 9000 training acc: 0.21875
Global Iter: 9100 training loss: 2.03221
Global Iter: 9100 training acc: 0.15625
Global Iter: 9200 training loss: 2.18995
Global Iter: 9200 training acc: 0.125
Global Iter: 9300 training loss: 2.10229
Global Iter: 9300 training acc: 0.125
Global Iter: 9400 training loss: 2.05183
Global Iter: 9400 training acc: 0.15625
Global Iter: 9500 training loss: 2.02048
Global Iter: 9500 training acc: 0.1875
Global Iter: 9600 training loss: 1.91073
Global Iter: 9600 training acc: 0.25
Global Iter: 9700 training loss: 2.04091
Global Iter: 9700 training acc: 0.125
Global Iter: 9800 training loss: 1.94718
Global Iter: 9800 training acc: 0.15625
Global Iter: 9900 training loss: 2.01511
Global Iter: 9900 training acc: 0.125
Global Iter: 10000 training loss: 2.0246
Global Iter: 10000 training acc: 0.125
Global Iter: 10100 training loss: 2.00277
Global Iter: 10100 training acc: 0.09375
Global Iter: 10200 training loss: 2.08279
Global Iter: 10200 training acc: 0.15625
Global Iter: 10300 training loss: 1.88611
Global Iter: 10300 training acc: 0.25
Global Iter: 10400 training loss: 2.04181
Global Iter: 10400 training acc: 0.1875
Global Iter: 10500 training loss: 2.00928
Global Iter: 10500 training acc: 0.3125
Global Iter: 10600 training loss: 1.96647
Global Iter: 10600 training acc: 0.1875
Global Iter: 10700 training loss: 1.90111
Global Iter: 10700 training acc: 0.15625
Global Iter: 10800 training loss: 1.95961
Global Iter: 10800 training acc: 0.1875
Global Iter: 10900 training loss: 2.01251
Global Iter: 10900 training acc: 0.15625
Global Iter: 11000 training loss: 2.02571
Global Iter: 11000 training acc: 0.15625
Global Iter: 11100 training loss: 2.15524
Global Iter: 11100 training acc: 0.21875
Global Iter: 11200 training loss: 1.99862
Global Iter: 11200 training acc: 0.125
Global Iter: 11300 training loss: 1.97437
Global Iter: 11300 training acc: 0.15625
Global Iter: 11400 training loss: 1.94826
Global Iter: 11400 training acc: 0.1875
Global Iter: 11500 training loss: 2.02476
Global Iter: 11500 training acc: 0.25
Global Iter: 11600 training loss: 1.99349
Global Iter: 11600 training acc: 0.125
Global Iter: 11700 training loss: 2.01138
Global Iter: 11700 training acc: 0.09375
Global Iter: 11800 training loss: 1.99279
Global Iter: 11800 training acc: 0.125
Global Iter: 11900 training loss: 1.97739
Global Iter: 11900 training acc: 0.1875
Global Iter: 12000 training loss: 1.96973
Global Iter: 12000 training acc: 0.1875
Global Iter: 12100 training loss: 2.05356
Global Iter: 12100 training acc: 0.125
Global Iter: 12200 training loss: 1.96195
Global Iter: 12200 training acc: 0.21875
Global Iter: 12300 training loss: 1.93061
Global Iter: 12300 training acc: 0.1875
Global Iter: 12400 training loss: 2.02153
Global Iter: 12400 training acc: 0.1875
Global Iter: 12500 training loss: 1.93245
Global Iter: 12500 training acc: 0.21875
Global Iter: 12600 training loss: 2.05729
Global Iter: 12600 training acc: 0.21875
Global Iter: 12700 training loss: 1.9777
Global Iter: 12700 training acc: 0.1875
Global Iter: 12800 training loss: 1.88974
Global Iter: 12800 training acc: 0.15625
Global Iter: 12900 training loss: 1.97196
Global Iter: 12900 training acc: 0.1875
Global Iter: 13000 training loss: 1.98554
Global Iter: 13000 training acc: 0.15625
Global Iter: 13100 training loss: 1.98076
Global Iter: 13100 training acc: 0.21875
Global Iter: 13200 training loss: 2.02029
Global Iter: 13200 training acc: 0.125
Global Iter: 13300 training loss: 2.02047
Global Iter: 13300 training acc: 0.125
Global Iter: 13400 training loss: 1.99365
Global Iter: 13400 training acc: 0.0625
Global Iter: 13500 training loss: 1.98277
Global Iter: 13500 training acc: 0.1875
Global Iter: 13600 training loss: 2.02543
Global Iter: 13600 training acc: 0.15625
Global Iter: 13700 training loss: 1.9706
Global Iter: 13700 training acc: 0.15625
Global Iter: 13800 training loss: 1.98964
Global Iter: 13800 training acc: 0.1875
Global Iter: 13900 training loss: 1.92375
Global Iter: 13900 training acc: 0.25
Global Iter: 14000 training loss: 2.08439
Global Iter: 14000 training acc: 0.1875
Global Iter: 14100 training loss: 1.94814
Global Iter: 14100 training acc: 0.28125
Global Iter: 14200 training loss: 1.99908
Global Iter: 14200 training acc: 0.1875
Global Iter: 14300 training loss: 2.03713
Global Iter: 14300 training acc: 0.15625
Global Iter: 14400 training loss: 2.01048
Global Iter: 14400 training acc: 0.21875
Global Iter: 14500 training loss: 1.97363
Global Iter: 14500 training acc: 0.09375
Global Iter: 14600 training loss: 1.96674
Global Iter: 14600 training acc: 0.1875
Global Iter: 14700 training loss: 1.98879
Global Iter: 14700 training acc: 0.03125
Global Iter: 14800 training loss: 2.08964
Global Iter: 14800 training acc: 0.09375
Global Iter: 14900 training loss: 1.97979
Global Iter: 14900 training acc: 0.1875
Global Iter: 15000 training loss: 2.07815
Global Iter: 15000 training acc: 0.15625
Global Iter: 15100 training loss: 2.08103
Global Iter: 15100 training acc: 0.125
Global Iter: 15200 training loss: 2.01372
Global Iter: 15200 training acc: 0.1875
Glo2017-06-21 05:13:11.335204: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
INFO:tensorflow:Restoring parameters from /home/ahmet/workspace/tensorboard/tissue_alexnet_b256_lr0005/model.ckpt-19211
bal Iter: 15300 training loss: 1.99101
Global Iter: 15300 training acc: 0.15625
Global Iter: 15400 training loss: 2.04421
Global Iter: 15400 training acc: 0.15625
Global Iter: 15500 training loss: 2.16605
Global Iter: 15500 training acc: 0.21875
Global Iter: 15600 training loss: 2.11521
Global Iter: 15600 training acc: 0.125
Global Iter: 15700 training loss: 2.02196
Global Iter: 15700 training acc: 0.125
Global Iter: 15800 training loss: 1.98023
Global Iter: 15800 training acc: 0.28125
Global Iter: 15900 training loss: 2.00869
Global Iter: 15900 training acc: 0.1875
Global Iter: 16000 training loss: 1.96385
Global Iter: 16000 training acc: 0.125
Global Iter: 16100 training loss: 1.92552
Global Iter: 16100 training acc: 0.21875
Global Iter: 16200 training loss: 1.97091
Global Iter: 16200 training acc: 0.25
Global Iter: 16300 training loss: 2.00976
Global Iter: 16300 training acc: 0.15625
Global Iter: 16400 training loss: 2.02469
Global Iter: 16400 training acc: 0.09375
Global Iter: 16500 training loss: 1.94615
Global Iter: 16500 training acc: 0.21875
Global Iter: 16600 training loss: 2.0741
Global Iter: 16600 training acc: 0.0625
Global Iter: 16700 training loss: 2.06283
Global Iter: 16700 training acc: 0.15625
Global Iter: 16800 training loss: 2.08856
Global Iter: 16800 training acc: 0.15625
Global Iter: 16900 training loss: 2.13861
Global Iter: 16900 training acc: 0.125
Global Iter: 17000 training loss: 2.0149
Global Iter: 17000 training acc: 0.21875
Global Iter: 17100 training loss: 1.94929
Global Iter: 17100 training acc: 0.15625
Global Iter: 17200 training loss: 1.93134
Global Iter: 17200 training acc: 0.28125
Global Iter: 17300 training loss: 2.1381
Global Iter: 17300 training acc: 0.09375
Global Iter: 17400 training loss: 2.04427
Global Iter: 17400 training acc: 0.1875
Global Iter: 17500 training loss: 2.02975
Global Iter: 17500 training acc: 0.0625
Global Iter: 17600 training loss: 2.04575
Global Iter: 17600 training acc: 0.25
Global Iter: 17700 training loss: 1.9596
Global Iter: 17700 training acc: 0.1875
Global Iter: 17800 training loss: 1.9815
Global Iter: 17800 training acc: 0.21875
Global Iter: 17900 training loss: 1.89847
Global Iter: 17900 training acc: 0.375
Global Iter: 18000 training loss: 1.90889
Global Iter: 18000 training acc: 0.125
Global Iter: 18100 training loss: 2.00604
Global Iter: 18100 training acc: 0.1875
Global Iter: 18200 training loss: 1.93383
Global Iter: 18200 training acc: 0.25
Global Iter: 18300 training loss: 1.98316
Global Iter: 18300 training acc: 0.15625
Global Iter: 18400 training loss: 2.00792
Global Iter: 18400 training acc: 0.15625
Global Iter: 18500 training loss: 2.11006
Global Iter: 18500 training acc: 0.125
Global Iter: 18600 training loss: 2.17705
Global Iter: 18600 training acc: 0.125
Global Iter: 18700 training loss: 1.9593
Global Iter: 18700 training acc: 0.125
Global Iter: 18800 training loss: 1.99396
Global Iter: 18800 training acc: 0.15625
Global Iter: 18900 training loss: 2.12522
Global Iter: 18900 training acc: 0.1875
Global Iter: 19000 training loss: 1.98054
Global Iter: 19000 training acc: 0.1875
Global Iter: 19100 training loss: 2.07121
Global Iter: 19100 training acc: 0.09375
Global Iter: 19200 training loss: 1.91968
Global Iter: 19200 training acc: 0.25
Model saved in file: /home/ahmet/workspace/tensorboard/tissue_alexnet_b256_lr0005/model.ckpt-19211
Number of Patches: 304301
checkpoint found: /home/ahmet/workspace/tensorboard/tissue_alexnet_b256_lr0005/model.ckpt-19211
Global Iter: 19300 training loss: 2.04203
Global Iter: 19300 training acc: 0.125
Global Iter: 19400 training loss: 2.08177
Global Iter: 19400 training acc: 0.28125
Global Iter: 19500 training loss: 1.94735
Global Iter: 19500 training acc: 0.28125
Global Iter: 19600 training loss: 1.94489
Global Iter: 19600 training acc: 0.34375
Global Iter: 19700 training loss: 2.02712
Global Iter: 19700 training acc: 0.125
Global Iter: 19800 training loss: 1.99909
Global Iter: 19800 training acc: 0.21875
Global Iter: 19900 training loss: 1.9929
Global Iter: 19900 training acc: 0.1875
Global Iter: 20000 training loss: 2.11225
Global Iter: 20000 training acc: 0.1875
Global Iter: 20100 training loss: 2.07926
Global Iter: 20100 training acc: 0.1875
Global Iter: 20200 training loss: 1.96839
Global Iter: 20200 training acc: 0.21875
Global Iter: 20300 training loss: 1.96353
Global Iter: 20300 training acc: 0.15625
Global Iter: 20400 training loss: 1.96177
Global Iter: 20400 training acc: 0.15625
Global Iter: 20500 training loss: 1.94791
Global Iter: 20500 training acc: 0.1875
Global Iter: 20600 training loss: 2.11677
Global Iter: 20600 training acc: 0.03125
Global Iter: 20700 training loss: 2.01731
Global Iter: 20700 training acc: 0.15625
Global Iter: 20800 training loss: 1.92938
Global Iter: 20800 training acc: 0.25
Global Iter: 20900 training loss: 2.03923
Global Iter: 20900 training acc: 0.28125
Global Iter: 21000 training loss: 1.99885
Global Iter: 21000 training acc: 0.25
Global Iter: 21100 training loss: 2.06868
Global Iter: 21100 training acc: 0.15625
Global Iter: 21200 training loss: 1.94767
Global Iter: 21200 training acc: 0.1875
Global Iter: 21300 training loss: 2.06208
Global Iter: 21300 training acc: 0.21875
Global Iter: 21400 training loss: 2.12486
Global Iter: 21400 training acc: 0.0625
Global Iter: 21500 training loss: 1.96955
Global Iter: 21500 training acc: 0.15625
Global Iter: 21600 training loss: 1.96671
Global Iter: 21600 training acc: 0.28125
Global Iter: 21700 training loss: 1.93488
Global Iter: 21700 training acc: 0.1875
Global Iter: 21800 training loss: 2.10492
Global Iter: 21800 training acc: 0.15625
Global Iter: 21900 training loss: 2.01495
Global Iter: 21900 training acc: 0.25
Global Iter: 22000 training loss: 2.15829
Global Iter: 22000 training acc: 0.125
Global Iter: 22100 training loss: 2.05245
Global Iter: 22100 training acc: 0.25
Global Iter: 22200 training loss: 2.02436
Global Iter: 22200 training acc: 0.125
Global Iter: 22300 training loss: 1.95757
Global Iter: 22300 training acc: 0.125
Global Iter: 22400 training loss: 1.98774
Global Iter: 22400 training acc: 0.15625
Global Iter: 22500 training loss: 1.96766
Global Iter: 22500 training acc: 0.125
Global Iter: 22600 training loss: 1.85711
Global Iter: 22600 training acc: 0.34375
Global Iter: 22700 training loss: 1.90078
Global Iter: 22700 training acc: 0.125
Global Iter: 22800 training loss: 2.00658
Global Iter: 22800 training acc: 0.25
Global Iter: 22900 training loss: 1.91304
Global Iter: 22900 training acc: 0.25
Global Iter: 23000 training loss: 1.94625
Global Iter: 23000 training acc: 0.15625
Global Iter: 23100 training loss: 1.91165
Global Iter: 23100 training acc: 0.28125
Global Iter: 23200 training loss: 1.98222
Global Iter: 23200 training acc: 0.125
Global Iter: 23300 training loss: 1.97289
Global Iter: 23300 training acc: 0.25
Global Iter: 23400 training loss: 2.0611
Global Iter: 23400 training acc: 0.09375
Global Iter: 23500 training loss: 1.932
Global Iter: 23500 training acc: 0.15625
Global Iter: 23600 training loss: 2.1443
Global Iter: 23600 training acc: 0.09375
Global Iter: 23700 training loss: 1.96691
Global Iter: 23700 training acc: 0.125
Global Iter: 23800 training loss: 1.98205
Global Iter: 23800 training acc: 0.28125
Global Iter: 23900 training loss: 1.95449
Global Iter: 23900 training acc: 0.1875
Global Iter: 24000 training loss: 1.91565
Global Iter: 24000 training acc: 0.21875
Global Iter: 24100 training loss: 1.95841
Global Iter: 24100 training acc: 0.1875
Global Iter: 24200 training loss: 2.02555
Global Iter: 24200 training acc: 0.125
Global Iter: 24300 training loss: 2.05889
Global Iter: 24300 training acc: 0.1875
Global Iter: 24400 training loss: 1.89853
Global Iter: 24400 training acc: 0.28125
Global Iter: 24500 training loss: 2.04724
Global Iter: 24500 training acc: 0.1875
Global Iter: 24600 training loss: 1.97834
Global Iter: 24600 training acc: 0.25
Global Iter: 24700 training loss: 2.00772
Global Iter: 24700 training acc: 0.125
Global Iter: 24800 training loss: 1.99847
Global Iter: 24800 training acc: 0.1875
Global Iter: 24900 training loss: 2.08692
Global Iter: 24900 training acc: 0.0625
Global Iter: 25000 training loss: 1.98477
Global Iter: 25000 training acc: 0.1875
Global Iter: 25100 training loss: 2.03803
Global Iter: 25100 training acc: 0.125
Global Iter: 25200 training loss: 2.04731
Global Iter: 25200 training acc: 0.21875
Global Iter: 25300 training loss: 1.96107
Global Iter: 25300 training acc: 0.21875
Global Iter: 25400 training loss: 2.01263
Global Iter: 25400 training acc: 0.1875
Global Iter: 25500 training loss: 1.99886
Global Iter: 25500 training acc: 0.1875
Global Iter: 25600 training loss: 1.96038
Global Iter: 25600 training acc: 0.15625
Global Iter: 25700 training loss: 1.90911
Global Iter: 25700 training acc: 0.21875
Global Iter: 25800 training loss: 1.97429
Global Iter: 25800 training acc: 0.28125
Global Iter: 25900 training loss: 1.96134
Global Iter: 25900 training acc: 0.1875
Global Iter: 26000 training loss: 1.99081
Global Iter: 26000 training acc: 0.125
Global Iter: 26100 training loss: 1.97969
Global Iter: 26100 training acc: 0.1875
Global Iter: 26200 training loss: 1.94004
Global Iter: 26200 training acc: 0.25
Global Iter: 26300 training loss: 2.00317
Global Iter: 26300 training acc: 0.15625
Global Iter: 26400 training loss: 1.981
Global Iter: 26400 training acc: 0.125
Global Iter: 26500 training loss: 2.15444
Global Iter: 26500 training acc: 0.15625
Global Iter: 26600 training loss: 2.06237
Global Iter: 26600 training acc: 0.1875
Global Iter: 26700 training loss: 2.01898
Global Iter: 26700 training acc: 0.09375
Global Iter: 26800 training loss: 1.85814
Global Iter: 26800 training acc: 0.25
Global Iter: 26900 training loss: 1.96309
Global Iter: 26900 training acc: 0.25
Global Iter: 27000 training loss: 1.92967
Global Iter: 27000 training acc: 0.25
Global Iter: 27100 training loss: 2.00407
Global Iter: 27100 training acc: 0.0625
Global Iter: 27200 training loss: 2.10607
Global Iter: 27200 training acc: 0.09375
Global Iter: 27300 training loss: 2.09209
Global Iter: 27300 training acc: 0.15625
Global Iter: 27400 training loss: 1.93217
Global Iter: 27400 training acc: 0.3125
Global Iter: 27500 training loss: 2.00992
Global Iter: 27500 training acc: 0.125
Global Iter: 27600 training loss: 1.98336
Global Iter: 27600 training acc: 0.15625
Global Iter: 27700 training loss: 1.90927
Global Iter: 27700 training acc: 0.09375
Global Iter: 27800 training loss: 2.04513
Global Iter: 27800 training acc: 0.1875
Global Iter: 27900 training loss: 1.98837
Global Iter: 27900 training acc: 0.34375
Global Iter: 28000 training loss: 1.9442
Global Iter: 28000 training acc: 0.28125
Global Iter: 28100 training loss: 1.91131
Global Iter: 28100 training acc: 0.34375
Global Iter: 28200 training loss: 1.93417
Global Iter: 28200 training acc: 0.25
Global Iter: 28300 training loss: 1.9975
Global Iter: 28300 training acc: 0.1875
Global Iter: 28400 training loss: 2.13399
Global Iter: 28400 training acc: 0.15625
Global Iter: 28500 training loss: 1.92045
Global Iter: 28500 training acc: 0.1875
Global Iter: 28600 training loss: 2.00448
Global Iter: 28600 training acc: 0.125
Global Iter: 28700 training loss: 1.9274
Global Iter: 28700 training acc: 0.1875
Global Iter: 28800 training loss: 1.97712
Global Iter: 28800 training acc: 0.125
Global Iter: 28900 training loss: 2.0333
Global Iter: 28900 training acc: 0.125
Global Iter: 29000 training loss: 2.07396
Global Iter: 29000 training acc: 0.15625
Global Iter: 29100 training loss: 1.9741
Global Iter: 29100 training acc: 0.125
Global Iter: 29200 training loss: 2.11424
Global Iter: 29200 training acc: 0.125
Global Iter: 29300 training loss: 2.06463
Global Iter: 29300 training acc: 0.125
Global Iter: 29400 training loss: 1.9643
Global Iter: 29400 training acc: 0.21875
Global Iter: 29500 training loss: 2.00095
Global Iter: 29500 training acc: 0.15625
Global Iter: 29600 training loss: 2.02022
Global Iter: 29600 training acc: 0.125
Global Iter: 29700 training loss: 2.0083
Global Iter: 29700 training acc: 0.09375
Global Iter: 29800 training loss: 1.97164
Global Iter: 29800 training acc: 0.25
Global Iter: 29900 training loss: 1.97196
Global Iter: 29900 training acc: 0.21875
Global Iter: 30000 training loss: 2.0439
Global Iter: 30000 training acc: 0.09375
Global Iter: 30100 training loss: 1.91603
Global Iter: 30100 training acc: 0.21875
Global Iter: 30200 training loss: 2.15591
Global Iter: 30200 training acc: 0.09375
Global Iter: 30300 training loss: 2.01142
Global Iter: 30300 training acc: 0.15625
Global Iter: 30400 training loss: 2.05204
Global Iter: 30400 training acc: 0.25
Global Iter: 30500 training loss: 2.0409
Global Iter: 30500 training acc: 0.125
Global Iter: 30600 training loss: 2.04077
Global Iter: 30600 training acc: 0.15625
Global Iter: 30700 training loss: 2.06472
Global Iter: 30700 training acc: 0.1875
Global Iter: 30800 training loss: 1.9993
Global Iter: 30800 training acc: 0.28125
Global Iter: 30900 training loss: 1.97369
Global Iter: 30900 training acc: 0.15625
